"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","gnar_training_rows","rmse","mae","coverage_95"
0.4,40,1,"Bayesian Gaussian GNAR",0.403196347031963,1853,3.85760726398336,2.7069345438088,0.920720720720721
0.4,40,2,"Persistence",0.398287671232877,1872,4.31049406308643,3.05244345186166,NA
0.4,40,2,"Ridge VAR",0.398287671232877,1872,3.87432977194641,2.7594769403504,NA
0.4,40,2,"OLS GNAR",0.398287671232877,1872,3.84267261093377,2.72037125843417,NA
0.4,40,2,"Bayesian Gaussian GNAR",0.398287671232877,1872,3.84278138129806,2.71989545119017,0.924324324324324
0.4,40,3,"Persistence",0.39783105022831,1825,4.3056255804597,3.04731706297277,NA
0.4,40,3,"Ridge VAR",0.39783105022831,1825,3.89190054818531,2.74978133921067,NA
0.4,40,3,"OLS GNAR",0.39783105022831,1825,3.84951749629579,2.71863217765786,NA
0.4,40,3,"Bayesian Gaussian GNAR",0.39783105022831,1825,3.85002016072166,2.7186275554198,0.925675675675676
0.4,40,4,"Persistence",0.389954337899543,1952,4.30305187711124,3.04510499220635,NA
0.4,40,4,"Ridge VAR",0.389954337899543,1952,3.92437433155124,2.7844149112463,NA
0.4,40,4,"OLS GNAR",0.389954337899543,1952,3.81687819117225,2.73201881553036,NA
