"missing_rate","missing_percent","replication","model","realised_training_missing_fraction","training_rows","rmse","mae","coverage_95"
0.5,50,8,"Unrestricted VAR",0.488127853881279,1113,4.04400568997389,2.89211136365867,NA
0.5,50,8,"Bayesian Gaussian GNAR",0.488127853881279,1113,3.8255763431445,2.71760469590851,0.932882882882883
0.5,50,9,"Unrestricted VAR",0.49486301369863,1147,4.05999917794003,2.92483068618026,NA
0.5,50,9,"Bayesian Gaussian GNAR",0.49486301369863,1147,3.89842561369101,2.74533843335943,0.917567567567568
0.5,50,10,"Unrestricted VAR",0.506849315068493,1042,4.00935243648223,2.89225841853879,NA
0.5,50,10,"Bayesian Gaussian GNAR",0.506849315068493,1042,3.86691939928926,2.71330151814972,0.92972972972973
0.6,60,1,"Unrestricted VAR",0.586073059360731,594,3.9734015296116,2.83019207729741,NA
0.6,60,1,"Bayesian Gaussian GNAR",0.586073059360731,594,3.83310668847078,2.71716215077179,0.899099099099099
0.6,60,2,"Unrestricted VAR",0.595319634703196,576,4.11788990401907,2.93446871058896,NA
0.6,60,2,"Bayesian Gaussian GNAR",0.595319634703196,576,3.9027883732681,2.71566688903126,0.913963963963964
0.6,60,3,"Unrestricted VAR",0.60216894977169,504,4.10421251035377,2.91904943872262,NA
0.6,60,3,"Bayesian Gaussian GNAR",0.60216894977169,504,3.82297060894031,2.75654886257618,0.942792792792793
0.6,60,4,"Unrestricted VAR",0.592922374429224,538,4.19168613222468,3.01739146491025,NA
0.6,60,4,"Bayesian Gaussian GNAR",0.592922374429224,538,3.85690770251049,2.7197678450506,0.927927927927928
0.6,60,5,"Unrestricted VAR",0.600799086757991,542,4.0182965259886,2.87766602509027,NA
0.6,60,5,"Bayesian Gaussian GNAR",0.600799086757991,542,3.88747598881771,2.73208281218199,0.933333333333333
0.6,60,6,"Unrestricted VAR",0.599315068493151,509,4.16068569109271,3.0181206633658,NA
0.6,60,6,"Bayesian Gaussian GNAR",0.599315068493151,509,3.86302669252189,2.76130180392014,0.916216216216216
0.6,60,7,"Unrestricted VAR",0.594520547945205,578,3.98159567205384,2.86843087316506,NA
0.6,60,7,"Bayesian Gaussian GNAR",0.594520547945205,578,3.87734961293905,2.71754755118951,0.897297297297297
0.6,60,8,"Unrestricted VAR",0.604908675799087,517,4.05859528397175,2.89527693229477,NA
0.6,60,8,"Bayesian Gaussian GNAR",0.604908675799087,517,3.97855972034574,2.72915548542297,0.913963963963964
0.6,60,9,"Unrestricted VAR",0.58972602739726,610,3.86027874323462,2.75090702963325,NA
0.6,60,9,"Bayesian Gaussian GNAR",0.58972602739726,610,3.827474239541,2.72227628848709,0.937837837837838
0.6,60,10,"Unrestricted VAR",0.588698630136986,585,4.04496653584818,2.88731399386345,NA
0.6,60,10,"Bayesian Gaussian GNAR",0.588698630136986,585,3.8579412269525,2.72744191308489,0.905405405405405
