"date","site_id","observed","fitted","residual"
2024-02-25,"STOK",10.5445416666667,9.30454215094068,1.23999951572602
2024-02-25,"BEX",9.68954166666667,8.11013973084622,1.57940193582045
2024-02-25,"SEND",9.86541666666667,8.10623943622052,1.75917723044615
2024-02-25,"HUL2",10.4510833333333,10.9251106540829,-0.474027320749608
2024-02-25,"PEMB",4.74941666666667,5.68914181628801,-0.93972514962134
2024-02-25,"WFEN",5.25054166666667,7.27068864394961,-2.02014697728294
2024-02-25,"OSY",6.215625,7.15648903057507,-0.940864030575068
2024-02-25,"ACTH",5.63295833333333,4.67199643700361,0.96096189632972
2024-02-25,"COPP",10.5041666666667,7.869783818571,2.6343828480957
2024-02-26,"EB",3.45904166666667,7.54094858266928,-4.08190691600261
2024-02-26,"IMGM",5.90416666666667,7.97453009376855,-2.07036342710188
2024-02-26,"PRES",4.313125,9.12038766483866,-4.80726266483866
2024-02-26,"BIRR",4.19908333333333,9.6523188058777,-5.45323547254437
2024-02-26,"BLC2",7.84875,9.87491806551248,-2.02616806551248
2024-02-26,"BOTR",4.13629166666667,9.36075809324454,-5.22446642657787
2024-02-26,"GHSR",5.41670833333333,7.31677912709946,-1.90007079376613
2024-02-26,"LEAM",4.11066666666667,7.75878731524365,-3.64812064857698
2024-02-26,"NPT3",3.02870833333333,7.71104618834367,-4.68233785501034
2024-02-26,"REA1",2.863625,8.24003561234952,-5.37641061234952
2024-02-26,"SOUT",2.88625,7.9838726787999,-5.0976226787999
2024-02-26,"WREX",4.77995833333333,8.02701900019261,-3.24706066685928
2024-02-26,"LEAR",3.55058333333333,7.67141435895187,-4.12083102561854
2024-02-26,"PLYM",2.76429166666667,7.06168907018776,-4.29739740352109
2024-02-26,"SHDG",5.00891666666667,9.37297005586667,-4.3640533892
2024-02-26,"SHE",3.85308333333333,9.597070548808,-5.74398721547467
2024-02-26,"BEL2",6.57533333333333,9.63139254672222,-3.05605921338889
2024-02-26,"GLKP",3.68125,7.05405301272887,-3.37280301272887
2024-02-26,"LECU",3.66354166666667,7.41843480123387,-3.7548931345672
2024-02-26,"SUN2",4.90279166666667,10.1632828375762,-5.26049117090958
2024-02-26,"TRAN",5.93854166666667,9.93269611205592,-3.99415444538925
2024-02-26,"STOK",4.15104166666667,9.12993452806371,-4.97889286139704
2024-02-26,"BEX",4.31220833333333,9.05354997058774,-4.74134163725441
2024-02-26,"SEND",4.869375,8.91169397560675,-4.04231897560675
2024-02-26,"HUL2",3.61645833333333,9.48285381264983,-5.8663954793165
2024-02-26,"PEMB",2.98945833333333,6.2749686673156,-3.28551033398227
2024-02-26,"WFEN",2.87633333333333,6.87233254169533,-3.995999208362
2024-02-26,"OSY",4.442875,7.53066705670839,-3.08779205670839
2024-02-26,"ACTH",1.576375,5.68164597368432,-4.10527097368433
2024-02-26,"COPP",4.41125,9.09598783547087,-4.68473783547087
2024-02-27,"EB",3.44336363636364,3.80756850122731,-0.364204864863667
2024-02-27,"IMGM",7.02254166666667,4.95395797793696,2.06858368872971
2024-02-27,"PRES",8.02975,4.09585216674544,3.93389783325456
2024-02-27,"BIRR",10.8962083333333,4.63668162647989,6.25952670685341
2024-02-27,"BLC2",10.09925,5.79902717401634,4.30022282598366
2024-02-27,"BOTR",9.35645833333333,4.19012918037974,5.16632915295359
2024-02-27,"GHSR",6.75704166666667,4.04077994259612,2.71626172407055
2024-02-27,"LEAM",8.552625,4.01526678650396,4.53735821349604
2024-02-27,"NPT3",6.72766666666667,3.69117079793869,3.03649586872798
2024-02-27,"REA1",6.32675,3.46862127382042,2.85812872617958
2024-02-27,"SOUT",6.46629166666667,3.68726639487948,2.77902527178719
2024-02-27,"WREX",5.39616666666667,4.04409887772431,1.35206778894236
2024-02-27,"LEAR",7.93245833333333,3.70159549999573,4.2308628333376
2024-02-27,"PLYM",5.49916666666667,4.24895199026212,1.25021467640455
2024-02-27,"SHDG",7.51766666666667,4.82095723812926,2.69670942853741
2024-02-27,"SHE",8.417875,4.31347084397729,4.10440415602271
2024-02-27,"BEL2",9.470375,5.26399627819551,4.20637872180449
2024-02-27,"GLKP",6.1105,3.20272864267587,2.90777135732413
2024-02-27,"LECU",9.01745833333333,3.94782103215731,5.06963730117602
2024-02-27,"SUN2",4.776,4.31221840245155,0.463781597548449
2024-02-27,"TRAN",6.75029166666667,4.66971479478466,2.08057687188201
2024-02-27,"STOK",10.9365,4.26526559717305,6.67123440282695
2024-02-27,"BEX",5.86879166666667,4.5234401383884,1.34535152827827
2024-02-27,"SEND",4.47045833333333,4.52777451141784,-0.0573161780845144
2024-02-27,"HUL2",9.25420833333333,4.50238298832764,4.75182534500569
2024-02-27,"PEMB",3.53579166666667,3.10075298227998,0.435038684386692
2024-02-27,"WFEN",4.27779166666667,3.50661226655597,0.771179400110698
2024-02-27,"OSY",3.701875,4.35874560863039,-0.656870608630394
2024-02-27,"ACTH",3.79608333333333,1.63932217718425,2.15676115614908
2024-02-27,"COPP",8.70927272727273,4.2899199455199,4.41935278175283
2024-02-28,"EB",3.55245833333333,6.00376441992229,-2.45130608658896
2024-02-28,"IMGM",9.48708333333333,7.54666558266543,1.9404177506679
2024-02-28,"PRES",7.54920833333333,7.72540181114093,-0.176193477807602
